transaction_id,order_id,amount,occurred_at
txn_66,ord_66,349.49,2025-02-02T12:46:15
txn_67,ord_67,204.11,2025-02-25T11:43:22
txn_68,ord_68,314.27,2025-02-09T04:49:32
txn_69,ord_69,146.56,2025-01-12T03:38:54
txn_70,ord_70,270.32,2025-02-14T17:29:28
txn_71,ord_71,231.33,2025-01-28T19:54:10
txn_72,ord_72,262.69,2025-01-08T01:39:55
txn_73,ord_73,297.25,2025-02-25T08:49:55
txn_74,ord_74,199.44,2025-01-21T02:09:16
txn_75,ord_75,225.42,2025-01-12T17:17:43
txn_76,ord_76,$280.04,2025-01-07T08:03:36
txn_77,ord_77,94.17,2025-02-07T00:02:07
