transaction_id,order_id,amount,occurred_at
txn_102,ord_102,$203.34,2025-01-30T18:27:27
txn_103,ord_103,300.44,2025-01-23T23:10:38
txn_104,ord_104,173.02,2025-01-03T15:03:36
txn_105,ord_105,190.39,2025-01-02T20:11:29
txn_106,ord_106,183.27,2025-02-27T14:04:22
txn_107,ord_107,340.32,2025-01-05T15:43:28
txn_108,ord_108,348.07,2025-01-07T21:09:14
txn_109,ord_109,284.17,2025-02-18T10:05:18
txn_110,ord_110,$302.31,2025-01-31T20:28:05
txn_111,ord_111,275.76,2025-02-24T08:53:30
txn_112,ord_112,98.17,2025-01-14T23:01:26
txn_113,ord_113,91.94,2025-01-15T04:41:11
