transaction_id,order_id,amount,occurred_at
txn_90,ord_90,81.84,2025-02-24T06:41:08
txn_91,ord_91,161.53,2025-02-25T08:01:59
txn_92,ord_92,$267.05,2025-02-07T21:56:38
txn_93,ord_93,215.68,2025-01-24T12:21:23
txn_94,ord_94,333.97,2025-02-07T01:06:10
txn_95,ord_95,209.11,2025-02-25T12:39:45
txn_96,ord_96,228.29,2025-01-25T02:52:25
txn_97,ord_97,263.69,2025-02-14T04:31:30
txn_98,ord_98,177.68,2025-01-31T15:14:01
txn_99,ord_99,323.78,2025-02-18T01:40:12
txn_100,ord_100,199.30,2025-02-19T13:27:40
txn_101,ord_101,217.80,2025-01-06T06:36:26
