transaction_id,order_id,amount,occurred_at
txn_78,ord_78,117.12,2025-02-09T12:14:09
txn_79,ord_79,317.77,2025-02-07T20:50:36
txn_80,ord_80,254.39,2025-01-19T15:04:55
txn_81,ord_81,275.24,2025-02-01T00:56:55
txn_82,ord_82,127.46,2025-02-21T04:06:06
txn_83,ord_83,282.23,2025-01-11T19:21:44
txn_84,ord_84,233.35,2025-01-01T12:54:59
txn_85,ord_85,226.69,2025-02-27T08:50:35
txn_86,ord_86,$132.06,2025-01-28T03:30:05
txn_87,ord_87,83.80,2025-02-11T16:18:19
txn_88,ord_88,311.16,2025-01-11T04:18:20
txn_89,ord_89,188.22,2025-01-20T00:29:26
